"synonym","species"
"Cacalia_rubescens","Parasenecio_rubescens"
"Caesalpinia_glabrata","Caesalpinia_paipai"
"Caesalpinia_major","Caesalpinia_volkensii"
"Calamus_hollrungii","Calamus_aruensis"
"Calandrinia_cachinalensis","Cistanthe_cachinalensis"
"Calandrinia_hispida","Montiopsis_umbellata"
"Calathea_musaica","Calathea_bella"
"Calatola_columbiana","Calatola_costaricensis"
"Calatola_venezuelana","Calatola_costaricensis"
"Calia_arizonica","Sophora_arizonica"
"Calliandra_pubiflora","Calliandra_hirsuta"
"Callistemon_brevisepalus","Melaleuca_brevisepala"
"Callistemon_buseanus","Melaleuca_buseana"
"Callistemon_pancheri","Melaleuca_pancheri"
"Callistemon_suberosus","Melaleuca_dawsonii"
"Callitriche_nana","Callitriche_japonica"
"Calophyllum_congestiflorum","Calophyllum_pauciflorum"
"Calophyllum_kunstleri","Calophyllum_rigidum"
"Calophyllum_spectabile","Calophyllum_membranaceum"
"Calpurnia_intrusa","Calpurnia_villosa"
"Calycomis_australis","Acrophyllum_venosum"
"Calycophyllum_acreanum","Calycophyllum_megistocaulum"
"Calycopteris_floribunda","Getonia_floribunda"
"Calyptridium_monospermum","Cistanthe_monosperma"
"Camellia_drupifera","Camellia_oleifera"
"Camellia_oleosa","Camellia_oleifera"
"Campecarpus_fulcitus","Cyphophoenix_fulcita"
"Campsis_chinensis","Campsis_grandiflora"
"Campylandra_watanabei","Campylandra_chinensis"
"Campylocentrum_jamaicense","Campylocentrum_micranthum"
"Canarium_samoense","Canarium_vitiense"
"Canarium_tonkinense","Canarium_parvum"
"Canella_alba","Canella_winterana"
"Canthium_bibracteatum","Pyrostria_bibracteata"
"Canthium_fadenii","Bullockia_fadenii"
"Canthium_kilifiense","Afrocanthium_kilifiense"
"Canthium_lactescens","Afrocanthium_lactescens"
"Canthium_lamprophyllum","Psydrax_lamprophylla"
"Canthium_mombazense","Bullockia_mombazensis"
"Canthium_mundianum","Afrocanthium_mundianum"
"Canthium_parasiebenlistii","Afrocanthium_parasiebenlistii"
"Canthium_pseudoverticillatum","Afrocanthium_pseudoverticillatum"
"Canthium_setiflorum","Bullockia_setiflora"
"Capanea_grandiflora","Kohleria_tigridia"
"Capassa_violacea","Lonchocarpus_capassa"
"Capparis_flexuosa","Capparis_arrabidae"
"Capparis_guaguaensis","Capparis_osmantha"
"Capparis_macrophylla","Capparidastrum_macrophyllum"
"Capparis_sola","Capparidastrum_sola"
"Capsicodendron_dinisii","Cinnamodendron_dinisii"
"Capsicodendron_pimenteira","Cinnamodendron_dinisii"
"Caracasia_tremadena","Ruyschia_tremadena"
"Carallia_integerrima","Carallia_brachiata"
"Carapa_slateri","Carapa_guianensis"
"Cardioteucris_cordifolia","Rubiteucris_siccanea"
"Carex_cernua","Carex_dimorpholepis"
"Carex_tomentosa","Carex_globularis"
"Carica_cauliflora","Vasconcellea_cauliflora"
"Carica_mexicana","Jacaratia_mexicana"
"Cariniana_decandra","Allantoma_decandra"
"Cariniana_excelsa","Cariniana_estrellensis"
"Cariniana_integrifolia","Allantoma_integrifolia"
"Cariniana_multiflora","Allantoma_pluriflora"
"Carmona_microphylla","Ehretia_microphylla"
"Carphalea_glaucescens","Dirichletia_glaucescens"
"Carphalea_pubescens","Dirichletia_pubescens"
"Carpolepis_elegans","Metrosideros_elegans"
"Carya_amara","Carya_cordiformis"
"Caryocar_barbinerve","Caryocar_edule"
"Caryopteris_bicolor","Pseudocaryopteris_bicolor"
"Caryopteris_nepetifolia","Schnabelia_nepetifolia"
"Caryota_ochlandra","Caryota_maxima"
"Casearia_bicolor","Laetia_procera"
"Casearia_bracteifera","Casearia_combaymensis"
"Casearia_brasiliensis","Casearia_arborea"
"Cassia_alata","Senna_alata"
"Cassia_arnottiana","Senna_arnottiana"
"Cassia_didymobotrya","Senna_didymobotrya"
"Cassia_emarginata","Senna_candolleana"
"Cassia_planitiicola","Senna_planitiicola"
"Cassia_reticulata","Senna_reticulata"
"Cassia_siamea","Senna_siamea"
"Cassia_timoriensis","Senna_timoriensis"
"Cassia_tora","Senna_obtusifolia"
"Cassia_undulata","Senna_undulata"
"Cassinia_longifolia","Cassinia_trinerva"
"Cassinia_vauvilliersii","Ozothamnus_leptophyllus"
"Cassipourea_elliottii","Cassipourea_malosana"
"Cassipourea_thomassetii","Cassipourea_lanceolata"
"Castanopsis_hullettii","Castanopsis_lucida"
"Castanopsis_pachycarpa","Castanopsis_rhamnifolia"
"Castanopsis_sumatrana","Castanopsis_inermis"
"Castanopsis_uraiana","Lithocarpus_uraianus"
"Casuarina_decussata","Allocasuarina_decussata"
"Casuarina_fraseriana","Allocasuarina_fraseriana"
"Casuarina_humilis","Allocasuarina_humilis"
"Casuarina_littoralis","Allocasuarina_littoralis"
"Casuarina_monilifera","Allocasuarina_monilifera"
"Casuarina_nobilis","Gymnostoma_nobile"
"Casuarina_nodiflora","Gymnostoma_nodiflorum"
"Casuarina_papuana","Gymnostoma_papuanum"
"Cattleya_aurantiaca","Guarianthe_aurantiaca"
"Cattleya_bowringiana","Guarianthe_bowringiana"
"Cattleya_trichopiliochila","Cattleya_wallisii"
"Cattleyopsis_lindenii","Broughtonia_lindenii"
"Catunaregam_uliginosa","Tamilnadia_uliginosa"
"Caucaea_cucullata","Caucaea_olivacea"
"Ceanothus_divaricatus","Ceanothus_leucodermis"
"Cecropia_tessmannii","Cecropia_membranacea"
"Cedrela_lilloi","Cedrela_angustifolia"
"Celaenodendron_mexicanum","Piranhea_mexicana"
"Celtis_durandii","Celtis_gomphophylla"
"Celtis_kajewskii","Celtis_latifolia"
"Celtis_kraussiana","Celtis_africana"
"Celtis_nymanii","Celtis_rigescens"
"Celtis_reticulata","Aphananthe_cuspidata"
